City,mrate1997,mrate2000,mrate2003,mrate2006,mrate2009,mrate2012,mrate2015,mrate2018,longitude,latitude
Newark,20.8,21.2,29.49,38.08,28.9,34.54,37.71,23.23,-74.185043,40.718707
Norfolk,22.68,18.77,16.88,11.69,17.36,13.95,11.38,8.19,-76.256033,36.918882
Oakland,25.3,20.03,27.47,36.78,26.56,32.03,21.8,16.27,-79.954398,40.439161
Oklahoma City,12.1,7.51,9.28,9.99,11.35,14.4,11.59,6.63,-97.602513,35.393761
Omaha,8.29,9.49,8.85,8.22,7.37,9.35,11.23,4.53,-95.990742,41.264998
Orlando,7.8,11.29,10.41,22.54,12.01,9.83,14.07,14.12,-81.293691,28.41959
Philadelphia,27.18,21.02,22.89,26.73,19.8,21.24,17.45,21.4,-75.168428,39.990821
Phoenix,14.35,11.51,17.74,16.84,8.51,8.38,7.14,8.92,-112.070892,33.60503
Portland,9.17,3.59,4.95,3.56,3.29,3.37,3.97,3.97,-122.650095,45.533467
Raleigh,9,9.42,4.45,5.39,3.58,4.49,3.56,2.98,-78.64439,35.795543
Rochester,23.73,17.75,26.73,22.87,13.24,17.05,15.26,12.06,-77.626889,43.160252
San Bernardino,20.11,17.26,24.9,22.99,15.42,22.07,13.92,24.34,-117.29278,34.136809
San Diego,5.63,4.41,5.21,5.34,3.16,3.44,2.66,2.93,-117.15529,32.72793
San Francisco,7.75,7.6,8.79,10.83,5.61,8.44,5.92,4.68,-122.431272,37.778008
San Jose,4.99,2.12,3.19,3.13,2.98,4.66,2.84,2.3,-121.883844,37.354559
Seattle,8.92,6.39,5.55,5.08,3.64,3.62,4.1,4.3,-122.331537,47.673455
St. Louis,42.18,35.61,21.8,38.99,44.38,37.93,59.4,61.77,-90.239861,38.635957
St. Paul,8.49,6.96,6.98,5.95,4.56,4.8,5.34,5.47,-93.09013,44.95304
Tampa,11.81,12.52,13.09,7.74,6.02,6.72,9.24,5.08,-82.495716,27.935231
Toledo,7.83,3.83,6.87,11.75,11.39,13.66,8.58,14.2,-83.563838,41.673767
Tulsa,10.38,8.4,15.53,13.51,17.35,10.64,14.4,15.23,-95.916194,36.105819
Washington,51.67,41.78,42.69,28.65,24.05,14.02,23.89,22.66,-77.01712,38.82652
Wichita,9.63,9,5.06,7.08,6.6,5.99,6.94,10.48,-97.339044,37.687692
